key,id,summary,epic,url
JNF-1,10462,Foundation - Project Structure,,"https://ndisapppoc.atlassian.net/browse/JNF-1"
JNF-2,10463,Data model - initial version,,"https://ndisapppoc.atlassian.net/browse/JNF-2"
JNF-3,10464,API services - initial version,,"https://ndisapppoc.atlassian.net/browse/JNF-3"
JNF-4,10465,Web app - initial version,,"https://ndisapppoc.atlassian.net/browse/JNF-4"
JNF-5,10466,Mobile app - initial version,,"https://ndisapppoc.atlassian.net/browse/JNF-5"
JNF-6,10467,Deployment - initial setup on Vercel,,"https://ndisapppoc.atlassian.net/browse/JNF-6"
JNF-7,10468,Documentation - initial setup,,"https://ndisapppoc.atlassian.net/browse/JNF-7"
JNF-8,10469,Authentication & Authorization,,"https://ndisapppoc.atlassian.net/browse/JNF-8"
JNF-9,10470,Data Model,,"https://ndisapppoc.atlassian.net/browse/JNF-9"
JNF-10,10471,UI Components & Design System,,"https://ndisapppoc.atlassian.net/browse/JNF-10"
JNF-11,10472,Participant Management,,"https://ndisapppoc.atlassian.net/browse/JNF-11"
JNF-12,10473,Plan & Budget Management,,"https://ndisapppoc.atlassian.net/browse/JNF-12"
JNF-13,10474,Scheduling & Appointments,,"https://ndisapppoc.atlassian.net/browse/JNF-13"
JNF-14,10475,Timesheets & Approvals,,"https://ndisapppoc.atlassian.net/browse/JNF-14"
JNF-15,10476,Claims & Finance,,"https://ndisapppoc.atlassian.net/browse/JNF-15"
JNF-16,10477,User authentication API (JWT),JNF-8,"https://ndisapppoc.atlassian.net/browse/JNF-16"
JNF-17,10478,Role-based access control (RBAC) system,JNF-8,"https://ndisapppoc.atlassian.net/browse/JNF-17"
JNF-18,10479,User profile management,JNF-8,"https://ndisapppoc.atlassian.net/browse/JNF-18"
JNF-19,10480,Password reset functionality,JNF-8,"https://ndisapppoc.atlassian.net/browse/JNF-19"
JNF-20,10481,Registration API for new users,JNF-8,"https://ndisapppoc.atlassian.net/browse/JNF-20"
JNF-21,10482,Login page UI,JNF-8,"https://ndisapppoc.atlassian.net/browse/JNF-21"
JNF-22,10483,Registration page UI,JNF-8,"https://ndisapppoc.atlassian.net/browse/JNF-22"
JNF-23,10484,User profile page UI,JNF-8,"https://ndisapppoc.atlassian.net/browse/JNF-23"
JNF-24,10485,Auth integration tests,JNF-8,"https://ndisapppoc.atlassian.net/browse/JNF-24"
JNF-25,10486,Documentation for auth services,JNF-8,"https://ndisapppoc.atlassian.net/browse/JNF-25"
JNF-26,10487,Participant data model,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-26"
JNF-27,10488,Provider data model,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-27"
JNF-28,10489,Plan data model,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-28"
JNF-29,10490,Budget data model,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-29"
JNF-30,10491,Appointment data model,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-30"
JNF-31,10492,Timesheet data model,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-31"
JNF-32,10493,Claim data model,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-32"
JNF-33,10494,User data model,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-33"
JNF-34,10495,Database schema design for PostgreSQL on Supabase,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-34"
JNF-35,10496,Data migration scripts for Supabase (PostgreSQL) using Prisma,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-35"
JNF-36,10497,Data model documentation,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-36"
JNF-37,10498,Data model validation rules,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-37"
JNF-38,10499,Data seeding for test environments,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-38"
JNF-39,10500,Data model performance testing,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-39"
JNF-40,10501,Data model security review,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-40"
JNF-41,10502,Data model audit trail,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-41"
JNF-42,10503,Data model backup and recovery plan using Supabase's automated backups,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-42"
JNF-43,10504,Data model API endpoints,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-43"
JNF-44,10505,Data model integration with other services,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-44"
JNF-45,10506,Data model versioning strategy,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-45"
JNF-46,10507,Data model compliance with NDIS standards,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-46"
JNF-47,10508,Data model reporting and analytics requirements,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-47"
JNF-48,10509,Data model internationalization and localization,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-48"
JNF-49,10510,Data model accessibility considerations,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-49"
JNF-50,10511,Data model consent management,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-50"
JNF-51,10512,Data model document management,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-51"
JNF-52,10513,Data model notification system,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-52"
JNF-53,10514,Data model search functionality,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-53"
JNF-54,10515,Data model offline support,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-54"
JNF-55,10516,Data model third-party integrations,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-55"
JNF-56,10517,Data model user preferences,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-56"
JNF-57,10518,Data model feedback and ratings,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-57"
JNF-58,10519,Data model help and support,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-58"
JNF-59,10520,Data model terms of service and privacy policy,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-59"
JNF-60,10521,Data model user onboarding,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-60"
JNF-61,10522,Data model user offboarding,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-61"
JNF-62,10523,Data model user activity tracking,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-62"
JNF-63,10524,Data model user notifications,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-63"
JNF-64,10525,Data model user support tickets,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-64"
JNF-65,10526,Data model user feedback,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-65"
JNF-66,10527,Data model user reviews and ratings,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-66"
JNF-67,10528,Data model user search history,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-67"
JNF-68,10529,Data model user saved searches,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-68"
JNF-69,10530,Data model user payment methods,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-69"
JNF-70,10531,Data model user invoices,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-70"
JNF-71,10532,Data model user subscriptions,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-71"
JNF-72,10533,Data model user billing address,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-72"
JNF-73,10534,Data model user shipping address,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-73"
JNF-74,10535,Data model user order history,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-74"
JNF-75,10536,Data model user shopping cart,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-75"
JNF-76,10537,Data model user wishlist,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-76"
JNF-77,10538,Data model user recently viewed items,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-77"
JNF-78,10539,Data model user recommended items,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-78"
JNF-79,10540,Data model user social media accounts,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-79"
JNF-80,10541,Data model user profile picture,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-80"
JNF-81,10542,Data model user cover photo,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-81"
JNF-82,10543,Data model user bio,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-82"
JNF-83,10544,Data model user website,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-83"
JNF-84,10545,Data model user location,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-84"
JNF-85,10546,Data model user language,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-85"
JNF-86,10547,Data model user timezone,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-86"
JNF-87,10548,Data model user currency,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-87"
JNF-88,10549,Data model user notification preferences,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-88"
JNF-89,10550,Data model user privacy settings,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-89"
JNF-90,10551,Data model user security settings,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-90"
JNF-91,10552,Data model user connected accounts,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-91"
JNF-92,10553,Data model user API keys,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-92"
JNF-93,10554,Data model user webhooks,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-93"
JNF-94,10555,Data model user logs,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-94"
JNF-95,10556,Data model user events,JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-95"
JNF-96,10557,UI — Component library setup (e.g., Storybook),JNF-10,"https://ndisapppoc.atlassian.net/browse/JNF-96"
JNF-97,10558,UI — Basic components (buttons, inputs, etc.),JNF-10,"https://ndisapppoc.atlassian.net/browse/JNF-97"
JNF-98,10559,UI — Navigation components (header, footer, sidebar),JNF-10,"https://ndisapppoc.atlassian.net/browse/JNF-98"
JNF-99,10560,UI — Layout components (grid, flexbox, etc.),JNF-10,"https://ndisapppoc.atlassian.net/browse/JNF-99"
JNF-100,10561,UI — Accessibility (WCAG) compliance,JNF-10,"https://ndisapppoc.atlassian.net/browse/JNF-100"
JNF-101,10615,UI — Responsive & mobile behavior tests,JNF-10,"https://ndisapppoc.atlassian.net/browse/JNF-101"
JNF-102,10617,UI — Documentation — component usage & accessibility,JNF-10,"https://ndisapppoc.atlassian.net/browse/JNF-102"
JNF-103,10619,Participant APIs — Registration, read, update, search,JNF-11,"https://ndisapppoc.atlassian.net/browse/JNF-103"
JNF-104,10621,UI — Participant registration page (public),JNF-11,"https://ndisapppoc.atlassian.net/browse/JNF-104"
JNF-105,10623,UI — Participant profile page & edit (authenticated),JNF-11,"https://ndisapppoc.atlassian.net/browse/JNF-105"
JNF-106,10625,Nominee & guardian support — manage nominees and permissions,JNF-11,"https://ndisapppoc.atlassian.net/browse/JNF-106"
JNF-107,10627,Audit events — record create/update/delete on participant data,JNF-11,"https://ndisapppoc.atlassian.net/browse/JNF-107"
JNF-108,10629,Provider onboarding — required participant documents & uploads,JNF-11,"https://ndisapppoc.atlassian.net/browse/JNF-108"
JNF-109,10631,Plan information capture — budgets, supports, plan manager details,JNF-11,"https://ndisapppoc.atlassian.net/browse/JNF-109"
JNF-110,10633,Consent & privacy capture — store explicit consents with timestamps,JNF-11,"https://ndisapppoc.atlassian.net/browse/JNF-110"
JNF-111,10635,Verification — ID & plan verification workflows for providers,JNF-11,"https://ndisapppoc.atlassian.net/browse/JNF-111"
JNF-112,10637,Provider onboarding checklist & guidance for new participants,JNF-11,"https://ndisapppoc.atlassian.net/browse/JNF-112"
JNF-113,10639,Integration tests — participant flows (registration to plan assignment),JNF-11,"https://ndisapppoc.atlassian.net/browse/JNF-113"
JNF-114,10641,Documentation — Participant onboarding & provider requirements,JNF-11,"https://ndisapppoc.atlassian.net/browse/JNF-114"
JNF-115,10643,Plan creation API — create and validate plans,JNF-12,"https://ndisapppoc.atlassian.net/browse/JNF-115"
JNF-116,10645,Budget calculation endpoint — available budget & percentage used,JNF-12,"https://ndisapppoc.atlassian.net/browse/JNF-116"
JNF-117,10647,BudgetHistory logging — record changes to plan allocations,JNF-12,"https://ndisapppoc.atlassian.net/browse/JNF-117"
JNF-118,10649,UI — Plan creation page & category allocation UX,JNF-12,"https://ndisapppoc.atlassian.net/browse/JNF-118"
JNF-119,10651,Seeds & data — example plans and budget history,JNF-12,"https://ndisapppoc.atlassian.net/browse/JNF-119"
JNF-120,10653,Tests — plan lifecycle and budget calculations,JNF-12,"https://ndisapppoc.atlassian.net/browse/JNF-120"
JNF-121,10655,Appointments API — create, update, cancel,JNF-13,"https://ndisapppoc.atlassian.net/browse/JNF-121"
JNF-122,10657,Availability endpoint — worker availability checks,JNF-13,"https://ndisapppoc.atlassian.net/browse/JNF-122"
JNF-123,10659,UI — Calendar view for appointments,JNF-13,"https://ndisapppoc.atlassian.net/browse/JNF-123"
JNF-124,10661,UI — Appointment creation & editing modal,JNF-13,"https://ndisapppoc.atlassian.net/browse/JNF-124"
JNF-125,10663,Notifications — appointment reminders & changes,JNF-13,"https://ndisapppoc.atlassian.net/browse/JNF-125"
JNF-126,10665,Tests — appointment scheduling and cancellation flows,JNF-13,"https://ndisapppoc.atlassian.net/browse/JNF-126"
JNF-127,10667,Timesheet submission API — create, update, submit,JNF-14,"https://ndisapppoc.atlassian.net/browse/JNF-127"
JNF-128,10669,Approval workflow — multi-level approvals (e.g., participant, manager),JNF-14,"https://ndisapppoc.atlassian.net/browse/JNF-128"
JNF-129,10671,UI — Timesheet entry form for workers,JNF-14,"https://ndisapppoc.atlassian.net/browse/JNF-129"
JNF-130,10673,UI — Timesheet approval queue for managers,JNF-14,"https://ndisapppoc.atlassian.net/browse/JNF-130"
JNF-131,10675,Notifications — timesheet submission & approval status,JNF-14,"https://ndisapppoc.atlassian.net/browse/JNF-131"
JNF-132,10677,Tests — timesheet submission and approval process,JNF-14,"https://ndisapppoc.atlassian.net/browse/JNF-132"
JNF-133,10679,Claim generation service — from approved timesheets,JNF-15,"https://ndisapppoc.atlassian.net/browse/JNF-133"
JNF-134,10681,PRODA integration — submit claims to NDIS portal,JNF-15,"https://ndisapppoc.atlassian.net/browse/JNF-134"
JNF-135,10683,Payment reconciliation — track claim status & payments,JNF-15,"https://ndisapppoc.atlassian.net/browse/JNF-135"
JNF-136,10685,UI — Financial dashboard for claims and payments,JNF-15,"https://ndisapppoc.atlassian.net/browse/JNF-136"
JNF-137,10687,Reporting — generate financial reports for providers,JNF-15,"https://ndisapppoc.atlassian.net/browse/JNF-137"
JNF-138,10689,Tests — end-to-end claim submission and reconciliation,JNF-15,"https://ndisapppoc.atlassian.net/browse/JNF-138"
JNF-139,10690,As a participant, I want to view my remaining budget so that I can track my spending.,JNF-12,"https://ndisapppoc.atlassian.net/browse/JNF-139"
JNF-140,10691,As a participant, I want to receive alerts when my budget is running low so that I can adjust my services.,JNF-12,"https://ndisapppoc.atlassian.net/browse/JNF-140"
JNF-141,10692,As a provider, I want to view a participant's budget before scheduling a service to ensure they have sufficient funds.,JNF-12,"https://ndisapppoc.atlassian.net/browse/JNF-141"
JNF-142,10694,As a provider, I want to be notified if a scheduled service will exceed a participant's budget so that I can discuss options with them.,JNF-12,"https://ndisapppoc.atlassian.net/browse/JNF-142"
JNF-143,10695,As a system administrator, I want to configure budget alert thresholds so that I can customize when users are notified.,JNF-12,"https://ndisapppoc.atlassian.net/browse/JNF-143"
JNF-144,10696,As a system administrator, I want to view a report of all participants with low budgets so that I can proactively manage their plans.,JNF-12,"https://ndisapppoc.atlassian.net/browse/JNF-144"
JNF-145,10697,As a participant, I want to approve my timesheets so that my support workers can be paid accurately and on time.,JNF-14,"https://ndisapppoc.atlassian.net/browse/JNF-145"
JNF-146,10698,As a support worker, I want to submit my timesheets easily so that I can be paid for my work.,JNF-14,"https://ndisapppoc.atlassian.net/browse/JNF-146"
JNF-147,10698,As a provider, I want to review and approve timesheets for my support workers so that I can ensure accurate billing.,JNF-14,"https://ndisapppoc.atlassian.net/browse/JNF-147"
JNF-148,10708,Participant Lifecycle & Compliance,,"https://ndisapppoc.atlassian.net/browse/JNF-148"
JNF-149,10709,Incident & Risk Management,,"https://ndisapppoc.atlassian.net/browse/JNF-149"
JNF-150,10710,As a provider, I want to offboard a participant when they no longer require services, so that their data is archived and their account is deactivated.,JNF-148,"https://ndisapppoc.atlassian.net/browse/JNF-150"
JNF-151,10711,As a system administrator, I want to define a data retention policy for offboarded participants, so that we comply with legal and regulatory requirements.,JNF-148,"https://ndisapppoc.atlassian.net/browse/JNF-151"
JNF-152,10712,As a provider, I want to receive proactive alerts when a participant's budget is nearing depletion, so that I can discuss plan adjustments with them.,JNF-148,"https://ndisapppoc.atlassian.net/browse/JNF-152"
JNF-153,10713,As a support worker, I want to report an incident or hazard that occurred during a service, so that it can be documented and addressed.,JNF-149,"https://ndisapppoc.atlassian.net/browse/JNF-153"
JNF-154,10714,As a compliance officer, I want to review and investigate reported incidents, so that I can ensure appropriate follow-up actions are taken.,JNF-149,"https://ndisapppoc.atlassian.net/browse/JNF-154"
JNF-155,10715,As a provider, I want to ensure that support workers have the required compliance documents (e.g., police check, first aid certificate) before they can be scheduled for a service.,JNF-148,"https://ndisapppoc.atlassian.net/browse/JNF-155"
JNF-156,10716,As a support worker, I want to be reminded to renew my compliance documents before they expire, so that I can continue to provide services.,JNF-148,"https://ndisapppoc.atlassian.net/browse/JNF-156"
JNF-157,10717,UI: View My Upcoming Schedule,JNF-13,"https://ndisapppoc.atlassian.net/browse/JNF-157"
JNF-158,10718,UI: Access Participant Information for a Scheduled Service,JNF-11,"https://ndisapppoc.atlassian.net/browse/JNF-158"
JNF-159,10719,UI: View Service Location on a Map and Get Directions,JNF-13,"https://ndisapppoc.atlassian.net/browse/JNF-159"
JNF-160,10720,UI: Clock In and Clock Out of a Service,JNF-14,"https://ndisapppoc.atlassian.net/browse/JNF-160"
JNF-161,10721,UI: Record Service Notes and Observations,JNF-11,"https://ndisapppoc.atlassian.net/browse/JNF-161"
JNF-162,10722,UI: Submit Timesheets for Approval,JNF-14,"https://ndisapppoc.atlassian.net/browse/JNF-162"
JNF-163,10723,UI: View Timesheet Status (Pending, Approved, Rejected),JNF-14,"https://ndisapppoc.atlassian.net/browse/JNF-163"
JNF-164,10724,UI: Receive Notifications for Schedule Changes,JNF-13,"https://ndisapppoc.atlassian.net/browse/JNF-164"
JNF-165,10725,UI: Manage My Availability,JNF-13,"https://ndisapppoc.atlassian.net/browse/JNF-165"
JNF-166,10726,UI: Report an Incident or Hazard,JNF-149,"https://ndisapppoc.atlassian.net/browse/JNF-166"
JNF-167,10727,UI: View My Compliance Status and Document Expiry Dates,JNF-148,"https://ndisapppoc.atlassian.net/browse/JNF-167"
JNF-168,10728,UI: Access Emergency Contact Information for a Participant,JNF-11,"https://ndisapppoc.atlassian.net/browse/JNF-168"
JNF-169,10749,UI (Mobile): 'My Day' Schedule View for Support Workers,JNF-13,"https://ndisapppoc.atlassian.net/browse/JNF-169"
JNF-170,10751,System (Mobile): Offline Mode for Schedule Access,JNF-13,"https://ndisapppoc.atlassian.net/browse/JNF-170"
JNF-171,10753,API & UI: Digital Timesheet Submission Flow for Workers,JNF-14,"https://ndisapppoc.atlassian.net/browse/JNF-171"
JNF-172,10755,UI: Timesheet Status Tracking and Notifications for Workers,JNF-14,"https://ndisapppoc.atlassian.net/browse/JNF-172"
JNF-173,10757,Compliance: Enforce Worker Screening & Certification Checks in Rostering,JNF-13,"https://ndisapppoc.atlassian.net/browse/JNF-173"
JNF-174,10759,Security (RBAC): Restrict Worker Data Access to Assigned Participants,JNF-8,"https://ndisapppoc.atlassian.net/browse/JNF-174"
JNF-175,10761,Compliance: GPS Stamping and E-Signature for Service Attendance Verification,JNF-14,"https://ndisapppoc.atlassian.net/browse/JNF-175"
JNF-176,10763,System: Auto-Verification of Claim Type from Timesheet Data,JNF-15,"https://ndisapppoc.atlassian.net/browse/JNF-176"
JNF-177,10767,UI (Web): Master Roster/Calendar View for Schedulers,JNF-13,"https://ndisapppoc.atlassian.net/browse/JNF-177"
JNF-178,10769,System: Intelligent Worker Matching for Scheduling,JNF-13,"https://ndisapppoc.atlassian.net/browse/JNF-178"
JNF-179,10769,API & UI: Recurring Appointment Creation,JNF-13,"https://ndisapppoc.atlassian.net/browse/JNF-179"
JNF-180,10771,API & UI: Group Event Scheduling and Billing,JNF-13,"https://ndisapppoc.atlassian.net/browse/JNF-180"
JNF-181,10773,System: Real-time Budget Validation on Appointment Booking,JNF-12,"https://ndisapppoc.atlassian.net/browse/JNF-181"
JNF-182,10775,API & UI: Manage Participant-Worker Preferences and Exclusions,JNF-11,"https://ndisapppoc.atlassian.net/browse/JNF-182"
JNF-183,10777,System: Workflow for Short-Notice Cancellations and Re-booking,JNF-15,"https://ndisapppoc.atlassian.net/browse/JNF-183"
JNF-184,10779,API & UI: Incident and Hazard Reporting System,JNF-149,"https://ndisapppoc.atlassian.net/browse/JNF-184"
JNF-185,10781,API & UI: Participant Goal Tracking and Progress Notes,JNF-11,"https://ndisapppoc.atlassian.net/browse/JNF-185"
JNF-186,10783,UI (Web): Timesheet Approval Dashboard and Workflow,JNF-14,"https://ndisapppoc.atlassian.net/browse/JNF-186"
JNF-187,10785,System: Automated Claim Generation from Approved Timesheets,JNF-15,"https://ndisapppoc.atlassian.net/browse/JNF-187"
JNF-188,10787,API & UI: Bulk Claim Submission to NDIS (PRODA),JNF-15,"https://ndisapppoc.atlassian.net/browse/JNF-188"
JNF-189,10789,UI (Web): NDIS Payment Reconciliation Dashboard,JNF-15,"https://ndisapppoc.atlassian.net/browse/JNF-189"
JNF-190,10791,System: NDIS Price Guide and Rate Management,JNF-12,"https://ndisapppoc.atlassian.net/browse/JNF-190"
JNF-191,10793,API & UI: Financial and Service Delivery Reporting,JNF-15,"https://ndisapppoc.atlassian.net/browse/JNF-191"
JNF-192,10795,API & UI: User Account and Role Management (RBAC),JNF-8,"https://ndisapppoc.atlassian.net/browse/JNF-192"
JNF-193,10797,System: Comprehensive Audit Trail for Critical Actions,JNF-148,"https://ndisapppoc.atlassian.net/browse/JNF-193"
JNF-194,10799,System: Participant Onboarding and Offboarding Lifecycle Workflow,JNF-148,"https://ndisapppoc.atlassian.net/browse/JNF-194"
JNF-195,10801,API & UI: Invoice Generation for Self/Plan-Managed Participants,JNF-15,"https://ndisapppoc.atlassian.net/browse/JNF-195"
JNF-196,10803,UI (Web): Central Compliance Dashboard,JNF-148,"https://ndisapppoc.atlassian.net/browse/JNF-196"
JNF-197,10805,API & UI: Policy and Procedure Document Management,JNF-148,"https://ndisapppoc.atlassian.net/browse/JNF-197"
JNF-198,10807,System: NDIS Audit Preparation and Data Export Tool,JNF-148,"https://ndisapppoc.atlassian.net/browse/JNF-198"
JNF-199,10809,API & UI: Complaints and Feedback Management System,JNF-149,"https://ndisapppoc.atlassian.net/browse/JNF-199"
JNF-200,10811,System: Configurable Alerts for Compliance Events,JNF-148,"https://ndisapppoc.atlassian.net/browse/JNF-200"
JNF-201,10813,"UI (Mobile): 'My Day' Schedule View for Support Workers",JNF-13,"https://ndisapppoc.atlassian.net/browse/JNF-201"
JNF-202,10815,"System (Mobile): Offline Mode for Schedule Access",JNF-13,"https://ndisapppoc.atlassian.net/browse/JNF-202"
JNF-203,10817,"API & UI: Digital Timesheet Submission Flow for Workers",JNF-14,"https://ndisapppoc.atlassian.net/browse/JNF-203"
JNF-204,10819,"UI: Timesheet Status Tracking and Notifications for Workers",JNF-14,"https://ndisapppoc.atlassian.net/browse/JNF-204"
JNF-205,10821,"Compliance: Enforce Worker Screening & Certification Checks in Rostering",JNF-13,"https://ndisapppoc.atlassian.net/browse/JNF-205"
JNF-206,10823,"Security (RBAC): Restrict Worker Data Access to Assigned Participants",JNF-8,"https://ndisapppoc.atlassian.net/browse/JNF-206"
JNF-207,10825,"Compliance: GPS Stamping and E-Signature for Service Attendance Verification",JNF-14,"https://ndisapppoc.atlassian.net/browse/JNF-207"
JNF-208,10827,"System: Auto-Verification of Claim Type from Timesheet Data",JNF-15,"https://ndisapppoc.atlassian.net/browse/JNF-208"
JNF-209,10829,"UI (Web): Master Roster/Calendar View for Schedulers",JNF-13,"https://ndisapppoc.atlassian.net/browse/JNF-209"
JNF-210,10831,"System: Intelligent Worker Matching for Scheduling",JNF-13,"https://ndisapppoc.atlassian.net/browse/JNF-210"
JNF-211,10833,"API & UI: Recurring Appointment Creation",JNF-13,"https://ndisapppoc.atlassian.net/browse/JNF-211"
JNF-212,10835,"API & UI: Group Event Scheduling and Billing",JNF-15,"https://ndisapppoc.atlassian.net/browse/JNF-212"
JNF-213,10837,"System: Real-time Budget Validation on Appointment Booking",JNF-13,"https://ndisapppoc.atlassian.net/browse/JNF-213"
JNF-214,10839,"API & UI: Manage Participant-Worker Preferences and Exclusions",JNF-13,"https://ndisapppoc.atlassian.net/browse/JNF-214"
JNF-215,10841,"System: Workflow for Short-Notice Cancellations and Re-booking",JNF-13,"https://ndisapppoc.atlassian.net/browse/JNF-215"
JNF-216,10843,"API & UI: Incident and Hazard Reporting System",JNF-13,"https://ndisapppoc.atlassian.net/browse/JNF-216"
JNF-217,10845,"API & UI: Participant Goal Tracking and Progress Notes",JNF-15,"https://ndisapppoc.atlassian.net/browse/JNF-217"
JNF-218,10847,"UI (Web): Timesheet Approval Dashboard and Workflow",JNF-15,"https://ndisapppoc.atlassian.net/browse/JNF-218"
JNF-219,10849,"System: Automated Claim Generation from Approved Timesheets",JNF-15,"https://ndisapppoc.atlassian.net/browse/JNF-219"
JNF-220,10851,"API & UI: Bulk Claim Submission to NDIS (PRODA)",JNF-12,"https://ndisapppoc.atlassian.net/browse/JNF-220"
JNF-221,10853,"UI (Web): NDIS Payment Reconciliation Dashboard",JNF-15,"https://ndisapppoc.atlassian.net/browse/JNF-221"
JNF-222,10855,"Aggregate incidents to identify trends and root causes",JNF-149,"https://ndisapppoc.atlassian.net/browse/JNF-222"
JNF-223,10857,"Auto-create risk entries from repeated incident types",JNF-149,"https://ndisapppoc.atlassian.net/browse/JNF-223"
JNF-224,10859,"Track corrective actions and assign follow-ups for non-compliance",JNF-148,"https://ndisapppoc.atlassian.net/browse/JNF-224"
JNF-225,10861,"Send organization-wide safety alerts to workers",JNF-149,"https://ndisapppoc.atlassian.net/browse/JNF-225"
JNF-226,10863,"Participant data deletion workflow after legal retention period",JNF-148,"https://ndisapppoc.atlassian.net/browse/JNF-226"
JNF-227,10865,"Implement encryption (AES-256, TLS1.3) for sensitive data",JNF-8,"https://ndisapppoc.atlassian.net/browse/JNF-227"
JNF-228,10867,"Schedule automated penetration testing and vulnerability reporting",JNF-8,"https://ndisapppoc.atlassian.net/browse/JNF-228"
JNF-229,10869,"Perform and log quarterly DR test cycles for Vercel and Supabase",JNF-1,"https://ndisapppoc.atlassian.net/browse/JNF-229"
JNF-230,10871,"Implement central log aggregation and monitoring using Vercel's platform",JNF-1,"https://ndisapppoc.atlassian.net/browse/JNF-230"
JNF-231,10873,"Implement AI insights to predict cancellations and optimize rosters",JNF-13,"https://ndisapppoc.atlassian.net/browse/JNF-231"
JNF-232,10875,"Data quality dashboard and stewardship alerts",JNF-9,"https://ndisapppoc.atlassian.net/browse/JNF-232"
JNF-233,10877,"Support multiple currencies/time zones for interstate expansion",JNF-1,"https://ndisapppoc.atlassian.net/browse/JNF-233"
JNF-234,10879,"Role-based reporting suite (Participant, Provider, Compliance)",JNF-15,"https://ndisapppoc.atlassian.net/browse/JNF-234"